change_type,doc_id,meeting_date,fiscal_year,source_system,doc_type,meeting_type,title
added,destinyhosted__20200602_116/AGENDApacket__06-02-20_1126_115.pdf__agenda_packet,2020-06-02,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__446359__minutes,2020-05-26,2020,laserfiche,minutes,regular,05-26-2020 Minutes
added,destinyhosted__20200526_121/AGENDApacket__05-26-20_0312_120.pdf__agenda_packet,2020-05-26,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__446352__minutes,2020-05-22,2020,laserfiche,minutes,regular,05-22-2020 Minutes
added,laserfiche__445265__minutes,2020-05-12,2020,laserfiche,minutes,regular,05-12-2020 Minutes
added,destinyhosted__20200512_112/AGENDApacket__05-12-20_0144_111.pdf__agenda_packet,2020-05-12,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__443971__minutes,2020-05-05,2020,laserfiche,minutes,regular,05-05-2020 Minutes
added,destinyhosted__20200505_119/AGENDApacket__05-05-20_0207_118.pdf__agenda_packet,2020-05-05,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__443446__minutes,2020-04-28,2020,laserfiche,minutes,regular,04-28-2020 Minutes
added,destinyhosted__20200428_94/AGENDApacket__04-28-20_1148_93.pdf__agenda_packet,2020-04-28,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__443093__minutes,2020-04-14,2020,laserfiche,minutes,regular,04-14-2020 Minutes
added,destinyhosted__20200414_93/AGENDApacket__04-14-20_0455_92.pdf__agenda_packet,2020-04-14,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__441706__minutes,2020-04-07,2020,laserfiche,minutes,regular,04-07-2020 Minutes
added,destinyhosted__20200407_92/AGENDApacket__04-07-20_0509_91.pdf__agenda_packet,2020-04-07,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__441318__minutes,2020-03-24,2020,laserfiche,minutes,regular,03-24-2020 Minutes
added,laserfiche__440074__minutes,2020-03-13,2020,laserfiche,minutes,special,03-13-2020 Minutes Special Emergency Session
added,laserfiche__440073__minutes,2020-03-10,2020,laserfiche,minutes,regular,03-10-2020 Minutes
added,destinyhosted__20200310_85/AGENDApacket__03-10-20_0445_84.pdf__agenda_packet,2020-03-10,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__439053__minutes,2020-02-25,2020,laserfiche,minutes,regular,02-25-2020 Minutes
added,destinyhosted__20200225_89/AGENDApacket__02-25-20_0415_88.pdf__agenda_packet,2020-02-25,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__437863__minutes,2020-02-18,2020,laserfiche,minutes,regular,02-18-2020 Minutes COG
added,laserfiche__437864__minutes,2020-02-11,2020,laserfiche,minutes,regular,02-11-2020 Minutes
added,destinyhosted__20200211_88/AGENDApacket__02-11-20_0430_87.pdf__agenda_packet,2020-02-11,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__437235__minutes,2020-02-04,2020,laserfiche,minutes,regular,02-04-2020 Minutes
added,destinyhosted__20200204_83/AGENDApacket__02-04-20_0347_82.pdf__agenda_packet,2020-02-04,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__437250__minutes,2020-01-30,2020,laserfiche,minutes,regular,01-30-2020 Joint Minutes
added,laserfiche__436365__minutes,2020-01-28,2020,laserfiche,minutes,regular,01-28-2020 Minutes
added,destinyhosted__20200128_80/AGENDApacket__01-28-20_0243_79.pdf__agenda_packet,2020-01-28,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__436363__minutes,2020-01-24,2020,laserfiche,minutes,regular,01-24-2020 Minutes
added,laserfiche__436004__minutes,2020-01-14,2020,laserfiche,minutes,regular,01-14-2020 Minutes
added,destinyhosted__20200114_75/AGENDApacket__01-14-20_0218_74.pdf__agenda_packet,2020-01-14,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__435451__minutes,2020-01-07,2020,laserfiche,minutes,regular,01-07-2020 Minutes
added,destinyhosted__20200107_71/AGENDApacket__01-07-20_0206_70.pdf__agenda_packet,2020-01-07,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20191224_77/AGENDApacket__12-24-19_1108_76.pdf__agenda_packet,2019-12-24,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,destinyhosted__20191210_63/AGENDApacket__12-10-19_0343_62.pdf__agenda_packet,2019-12-10,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
